User Id,Pl Name,Cr Last 3 D,Cr Last 7 D,Cr Last 30 D,Traffic Dr 3 D,Traffic Dr 7 D,Traffic Dr 30 D
88184,Platform,,,,,,
88200,Platform,0.03216302479744659,0.03196721311475409,0.03728410856255140,0.96964121435142594,0.96929679762297788,0.72968671469257832
88206,Platform,0.00000000000000000,0.00000000000000000,0.00425531914893617,0.90000000000000000,0.46296296296296296,0.35294117647058823
88256,Printbase,,,,,,
88271,Printbase,,,,,,
88306,Platform,0.00000000000000000,0.01612903225806451,0.00818534961154273,0.72972972972972972,0.72380952380952380,0.04217419332948800
88410,Platform,,,,,,
88636,Platform,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.41666666666666666,0.47826086956521739,0.38392857142857142
88697,Printbase,,,,,,
88772,Platform,,,,,,
88917,Platform,,,,,,
88970,Printbase,,,,,,1.00000000000000000
89129,Platform,,,,,,
89324,Platform,0.02000000000000000,0.00970873786407766,0.02298850574712643,0.56060606060606060,0.56603773584905660,0.57903225806451612
89570,Platform,,,,,,
89878,Platform,0.04952282692803714,0.04621968616262482,0.03757903903676498,0.12164040778498609,0.11635986518019185,0.12124267658768102
90492,Platform,,,,,,
90762,Platform,,,,,,
91162,Printbase,,,0.00000000000000000,,,0.62500000000000000
91378,Printbase,,,,,,
91521,Plusbase,,,,,,
91521,Printbase,,,,,,
91560,Printbase,,,,,,
91615,Printbase,0.00000000000000000,0.00000000000000000,0.01834862385321100,0.90909090909090909,0.54901960784313725,0.36290322580645161
91795,Platform,,,,,,
92214,Platform,,,,,,
92240,Platform,,,,,,0.00000000000000000
92403,Platform,,,,,,
92890,Platform,,,,,,
93997,Plusbase,,,,,,
94183,Platform,,,,,,
94212,Platform,,,,,,
94621,Platform,,,,,,
94621,Plusbase,0.00000000000000000,0.00000000000000000,0.00000000000000000,1.00000000000000000,1.00000000000000000,1.00000000000000000
94747,Platform,,,,,,
94869,Plusbase,,,,,,
95070,Platform,,,,,,
95464,Platform,0.04878048780487804,0.05106778087279480,0.05005784805244890,0.12210834553440702,0.11838755304101838,0.12096945645241301
95471,Platform,,,,,,
95695,Platform,,,,,,0.00000000000000000
95702,Platform,0.00000000000000000,0.00000000000000000,0.00501253132832080,0.22000000000000000,0.24409448818897637,0.26396562308164518
